ClosestCity,Mag20,Mag25,Mag30,Mag35,Mag40,Mag45,Mag50,Mag55,Mag60,Mag65,Mag70,Mag75,Mag80,Mag85,Mag90
Salinas,2500.0,0.020145044319097503,0.045167118337850046,0.17123287671232876,0.5882352941176471,2.0,8.333333333333334,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
San Bernardino,2500.0,0.03834355828220859,0.14326647564469913,0.4424778761061947,1.1904761904761905,3.125,12.5,50.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
San Clemente Island,2500.0,0.16778523489932887,0.43478260869565216,2.1739130434782608,3.125,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
San Diego,2500.0,0.22935779816513763,2.1739130434782608,3.8461538461538463,25.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
San Fernando,2500.0,0.08912655971479501,0.2127659574468085,0.4032258064516129,1.4705882352941178,3.8461538461538463,50.0,50.0,2500.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0
San Francisco,2500.0,0.5617977528089888,1.5151515151515151,7.142857142857143,25.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
San Jose,2500.0,0.04784688995215311,0.12562814070351758,0.43478260869565216,0.8771929824561403,2.7777777777777777,10.0,25.0,50.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0
San Juan Capistrano,2500.0,0.034818941504178275,0.29411764705882354,1.3157894736842106,5.0,50.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
San Luis Obispo,2500.0,0.0782472613458529,0.26881720430107525,0.9615384615384616,3.5714285714285716,12.5,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
San Ramon,2500.0,0.1557632398753894,0.4132231404958678,1.7857142857142858,3.8461538461538463,16.666666666666668,25.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Santa Barbara,2500.0,0.15060240963855423,0.4854368932038835,2.380952380952381,8.333333333333334,50.0,25.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Santa Clarita,2500.0,0.0744047619047619,0.16722408026755853,0.373134328358209,1.0638297872340425,4.545454545454546,6.25,16.666666666666668,2500.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0
Stockton,2500.0,2.9411764705882355,6.25,50.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Sugar Bunker NV,2500.0,0.3448275862068966,0.5263157894736842,0.4032258064516129,0.4,0.7246376811594203,0.7142857142857143,10.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Topaz Lake NV,2500.0,0.0590318772136954,0.16666666666666666,0.4854368932038835,2.1739130434782608,3.3333333333333335,25.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Twenty Nine Palms,2500.0,0.01447596988998263,0.051440329218107,0.20920502092050208,0.5747126436781609,2.6315789473684212,7.142857142857143,25.0,2500.0,2500.0,25.0,2500.0,2500.0,2500.0,2500.0
"Ukiah, CA",2500.0,0.018443378827001106,0.06765899864682003,0.30303030303030304,1.1111111111111112,7.142857142857143,25.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Unionville NV,2500.0,1.3513513513513513,1.8518518518518519,3.125,3.5714285714285716,25.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Ventura,2500.0,0.10752688172043011,0.4424778761061947,1.6666666666666667,4.545454545454546,12.5,16.666666666666668,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Walnut Creek,2500.0,0.21367521367521367,0.6410256410256411,2.5,5.555555555555555,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Warm Springs NV,2500.0,0.5,1.3513513513513513,3.8461538461538463,10.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
"Willits, CA",2500.0,0.10940919037199125,0.3048780487804878,1.6666666666666667,3.3333333333333335,12.5,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Yosemite,2500.0,0.13966480446927373,0.5813953488372093,1.8518518518518519,10.0,50.0,2500.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Yuma AZ,2500.0,0.3105590062111801,6.25,25.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
